2018-04-27~[2207, 746]
2018-04-26~[2410, 926]
2018-04-25~[2480, 906]
2018-04-24~[2338, 973]
2018-04-23~[2349, 1115]
2018-04-22~[1703, 659]
2018-04-21~[1573, 579]
2018-04-20~[2167, 897]
2018-04-19~[2284, 961]
2018-04-18~[2537, 1041]
2018-04-17~[2101, 790]
2018-04-16~[1833, 814]
2018-05-31~[2371, 990]
2018-05-30~[2040, 913]
2018-05-29~[2128, 894]
2018-05-28~[1975, 770]
2018-05-27~[1907, 706]
2018-05-26~[1794, 768]
2018-05-25~[2257, 876]
2018-05-24~[2711, 977]
2018-05-23~[2895, 880]
2018-05-22~[2373, 802]
2018-05-21~[2219, 719]
2018-05-20~[1803, 594]
2018-05-19~[1328, 540]
2018-05-18~[2014, 765]
2018-06-30~[2217, 709]
2018-07-31~[3824, 1574]
2018-06-29~[3404, 1258]
2018-07-30~[4294, 1919]
2018-06-28~[3352, 1307]
2018-06-27~[3115, 1280]
2018-07-29~[3938, 1493]
2018-06-26~[3610, 1431]
2018-05-17~[2334, 872]
2018-07-28~[2980, 1313]
2018-05-16~[2705, 909]
2018-06-25~[3220, 1246]
2018-07-27~[3670, 1566]
2018-05-15~[2525, 920]
2018-06-24~[3529, 1459]
2018-07-26~[4421, 1981]
2018-05-14~[2436, 1042]
2018-06-23~[4816, 2701]
2018-05-13~[2353, 923]
2018-07-25~[4502, 1646]
2018-05-12~[2827, 1350]
2018-06-22~[4596, 1496]
2018-05-11~[2535, 846]
